PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Petrusev F.,2024-2025,25,20.77777777777778,13.518518518518519,132,44,15,21,29,66,93,14,27,13,38,0.48148148148148145,2,11.621621621621621,11.6
Poirier V.,2024-2025,31,21.515151515151516,9.757575757575758,166,41,39,21,31,70,68,0,33,19,104,0.5757575757575758,4,8.0,8.8
Pokusevski A.,2024-2025,23,12.653846153846153,3.8076923076923075,56,32,26,16,13,55,9,12,26,12,16,0.46153846153846156,4,3.5384615384615383,3.8
Punter K.,2024-2025,32,26.838709677419356,17.0,65,94,1,40,48,66,103,70,31,18,115,0.5806451612903226,5,15.11111111111111,13.3
Randolph L.,2024-2025,32,27.727272727272727,12.0,126,58,0,20,39,71,86,32,33,10,-43,0.30303030303030304,5,2.142857142857143,9.9
Rathan Mayes X.,2024-2025,31,12.857142857142858,5.761904761904762,21,30,1,11,26,30,12,25,21,11,-7,0.5238095238095238,4,7.258064516129032,6.2
Rayman W.,2024-2025,28,11.625,2.6875,102,5,4,6,6,80,30,8,32,10,-24,0.3125,1,3.108108108108108,3.4
Ricci G.,2024-2025,33,15.15625,3.5625,79,14,7,12,12,80,6,26,32,16,-22,0.5,6,4.45945945945946,3.8
Rivero J.,2024-2025,31,22.05,10.2,87,26,9,16,22,40,28,2,20,7,-51,0.35,4,5.571428571428571,10.1
Rogkavopoulos N.,2024-2025,24,18.78125,9.75,126,31,1,15,17,49,30,62,32,14,49,0.4375,3,4.7407407407407405,6.4
Sako N.,2024-2025,26,21.96969696969697,9.0,203,27,16,26,29,94,45,0,33,13,-83,0.3939393939393939,1,4.885714285714286,6.7
Samaric L.,2024-2025,25,15.266666666666667,9.066666666666666,48,16,7,7,18,18,20,10,15,6,-14,0.4,2,7.0,9.3
Sanli S.,2024-2025,33,14.551724137931034,6.275862068965517,76,22,15,14,18,74,32,22,29,19,-10,0.6551724137931034,6,2.4285714285714284,6.3
Satoransky T.,2024-2025,33,23.242424242424242,6.0,105,176,2,29,56,70,27,21,33,19,68,0.5757575757575758,6,7.176470588235294,5.7
Sedekerskis T.,2024-2025,27,24.52,7.36,119,42,5,8,23,20,26,20,25,10,-61,0.4,0,8.0,7.6
Shengelia T.,2024-2025,33,27.357142857142858,15.571428571428571,139,75,10,19,71,70,117,25,28,6,-92,0.21428571428571427,6,12.67741935483871,11.6
Shields S.,2024-2025,31,27.535714285714285,11.964285714285714,100,73,1,19,43,41,56,43,28,13,-57,0.4642857142857143,4,12.323529411764707,10.8
Shorts T.,2024-2025,27,27.12121212121212,18.696969696969695,90,247,2,35,71,74,134,27,33,19,174,0.5757575757575758,0,7.75,14.5
Sirvydis D.,2024-2025,25,16.875,8.53125,88,25,3,16,36,50,47,54,32,15,-4,0.46875,2,4.625,6.9
Sloukas K.,2024-2025,35,21.625,9.3125,62,159,3,29,51,55,85,47,32,20,93,0.625,8,9.833333333333334,6.8
Smailagic A.,2024-2025,24,14.607142857142858,8.142857142857142,83,11,17,10,27,64,34,22,28,15,-31,0.5357142857142857,3,7.466666666666667,7.0
Smits R.,2024-2025,30,18.151515151515152,7.0,86,28,3,8,33,73,44,25,33,19,23,0.5757575757575758,3,6.852941176470588,6.5
Sorkin R.,2024-2025,28,23.393939393939394,12.93939393939394,135,35,16,18,50,81,72,31,33,11,-61,0.3333333333333333,1,13.594594594594595,9.9
Spagnolo M.,2024-2025,22,20.923076923076923,9.653846153846153,53,99,1,13,55,39,49,12,26,5,-161,0.19230769230769232,5,5.5,11.2
Strazel M.,2024-2025,22,20.08823529411765,8.088235294117647,34,75,1,16,33,60,53,48,34,21,15,0.6176470588235294,5,9.162162162162161,8.2
Tarpey T.,2024-2025,31,12.444444444444445,2.5,41,10,5,20,1,32,9,8,18,12,18,0.6666666666666666,4,1.65625,4.0
Tavares W.,2024-2025,33,23.852941176470587,10.558823529411764,243,39,45,22,70,100,61,0,34,20,192,0.5882352941176471,6,9.864864864864865,10.5
Thompson D.,2024-2025,30,26.757575757575758,9.545454545454545,63,156,16,30,40,68,39,46,33,19,86,0.5757575757575758,3,9.486486486486486,8.8
Tonut S.,2024-2025,31,15.481481481481481,3.2222222222222223,52,31,2,9,8,31,5,14,27,12,2,0.4444444444444444,4,1.0,4.1
Ulanovas E.,2024-2025,33,22.303030303030305,6.515151515151516,90,60,2,16,31,88,67,26,33,15,-69,0.45454545454545453,6,5.27027027027027,4.7
